This network is called the Corridor Network and was found in Sherali et al, 1994. (see Sherali et al, 1994 referencing Gur et al, 1980)
12 18
1 2 3 4 5 6 7 8 9 10 11 12



(4,9)
(5,10)
(6,7) (6,8) (6,5)
(7,1) (7,9)
(8,10)
(9,4) (9,10) (9,11)
(10,9) (10,5) (10,12)
(11,2) (11,12)
(12,3) (12,11)
$
(4,1) (4,2) (4,3) (4,5) (4,6) (5,1) (5,2) (5,3) (5,4) (5,6) (6,1) (6,2) (6,3) (6,4) (6,5)
#
(4,9,2400,240,240) (6,5,100,10,10) (6,7,5000,500,500) (6,8,500,50,50) (7,1,500,50,50) (7,9,4500,450,450) (8,10,500,50,50) (9,4,2000,200,200) (11,2,4800,480,480)
(6,2,2500,400,400) (4,1,0,0,0) (4,2,600,120,120) (4,3,700,140,140) (4,5,1100,220,220) (4,6,0,0,0) (5,1,0,0,0) (5,2,1700,340,340) (5,3,300,60,60) (5,4,0,0,0) (5,6,0,0,0) (6,1,500,100,100) (6,3,0,0,0) (6,4,2000,400,400) (6,5,600,120,120)
%LINK
1 (4,9) 10
2 (5,10) 10
3 (6,5) 40
4 (6,7) 10
5 (6,8) 10
6 (7,1) 10
7 (7,9) 20
8 (8,10) 20
9 (9,4) 10
10 (9,10) 10
11 (9,11) 20
12 (10,5) 10
13 (10,9) 10
14 (10,12) 20
15 (11,2) 20
16 (11,12) 10
17 (12,3) 20
18 (12,11) 10
